LAYER,P,R,F
0,0.3247314,0.32477322,0.32055983
1,0.34701017,0.34706187,0.344079
2,0.41985375,0.41988486,0.4179418
3,0.4668236,0.46684003,0.4656058
4,0.45860615,0.4586492,0.4573681
5,0.41228917,0.4123522,0.41066456
6,0.4395095,0.43956795,0.43794444
7,0.48392966,0.4839865,0.48246792
8,0.5335945,0.5336341,0.5322364
9,0.60744065,0.6074917,0.60612226
10,0.66027635,0.66033924,0.65897125
11,0.6890247,0.6891011,0.6878515
12,0.54997945,0.55007255,0.54844016
