LAYER,P,R,F
0,0.2884445,0.2884457,0.28333962
1,0.39316687,0.3931663,0.39123002
2,0.42905498,0.4290923,0.42735597
3,0.5222444,0.52227175,0.52129734
4,0.6019937,0.6019904,0.6014007
5,0.6666034,0.66660464,0.66620487
6,0.51401854,0.51404256,0.5131456
