LAYER,P,R,F
0,0.27245584,0.27247205,0.26611173
1,0.45394143,0.453942,0.45178676
2,0.5374658,0.5374726,0.53619426
3,0.61241305,0.61244136,0.6116679
4,0.63282156,0.632836,0.63219804
5,0.8164157,0.81645757,0.81623197
6,0.4648941,0.4649093,0.4638737
