LAYER,P,R,F
0,0.42279568,0.42285842,0.4198645
1,0.38239375,0.3824535,0.3795375
2,0.35127786,0.35131463,0.34854048
3,0.3402314,0.34027407,0.33761653
4,0.34001094,0.3400646,0.33745667
5,0.34310105,0.34314916,0.34054983
6,0.3478834,0.34792796,0.34530792
7,0.3523316,0.35237584,0.34973368
8,0.35546654,0.35550496,0.35283387
9,0.35682797,0.35686156,0.3541417
10,0.3572713,0.35730729,0.35451323
11,0.35916516,0.35920846,0.35632935
12,0.3620535,0.3621047,0.35911387
